COD_MUN,NOM_MUNICI,COD_DEPTO,NOM_DEPART,STABBR
91530,PUERTO ALEGRÍA (Cor. Departamental),91,AMAZONAS,AMZ
91263,EL ENCANTO (Cor. Departamental),91,AMAZONAS,AMZ
91536,PUERTO ARICA (Cor. Departamental),91,AMAZONAS,AMZ
91798,TARAPACÁ (Cor. Departamental),91,AMAZONAS,AMZ
91001,LETICIA,91,AMAZONAS,AMZ
91540,PUERTO NARIÑO,91,AMAZONAS,AMZ
91460,MIRITÍ-PARANÁ (Campoamor) (Cor. Departamental),91,AMAZONAS,AMZ
91430,LA VICTORIA (Pacoa) (Cor. Departamental),91,AMAZONAS,AMZ
91405,LA CHORRERA (Cor. Departamental),91,AMAZONAS,AMZ
91669,SANTANDER (Araracuara) (Cor. Departamental),91,AMAZONAS,AMZ
91407,LA PEDRERA (Cor. Departamental),91,AMAZONAS,AMZ
95200,MIRAFLORES,95,GUAVIARE,GVR
95025,EL RETORNO,95,GUAVIARE,GVR
95015,CALAMAR,95,GUAVIARE,GVR
95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,GVR
97666,TARAIRA,97,VAUPES,VPS
97511,PACOA (Cor. Departamental),97,VAUPES,VPS
97161,CARURÚ,97,VAUPES,VPS
97777,PAPUNAUA (Cor. Departamental),97,VAUPES,VPS
97001,MITÚ,97,VAUPES,VPS
97889,YAVARATÉ (Cor. Departamental),97,VAUPES,VPS
94663,MAPIRIPANA (Cor. Departamental),94,GUAINIA,GNA
94343,BARRANCO MINA (Cor. Departamental),94,GUAINIA,GNA
94001,INIRIDA,94,GUAINIA,GNA
94886,CACAHUAL (Cor. Departamental),94,GUAINIA,GNA
94884,PUERTO COLOMBIA (Cor. Departamental),94,GUAINIA,GNA
94885,LA GUADALUPE (Cor. Departamental),94,GUAINIA,GNA
94888,MORICHAL (Morichal Nuevo) (Cor. Departamental),94,GUAINIA,GNA
94887,PANÁ PANÁ (Campo Alegre) (Cor. Departamental),94,GUAINIA,GNA
94883,SAN FELIPE (Cor. Departamental),94,GUAINIA,GNA
99624,SANTA ROSALÍA,99,VICHADA,VCD
99524,LA PRIMAVERA,99,VICHADA,VCD
99001,PUERTO CARREÑO,99,VICHADA,VCD
99773,CUMARIBO,99,VICHADA,VCD
50350,LA MACARENA,50,META,MTA
50325,MAPIRIPÁN,50,META,MTA
50568,PUERTO GAITÁN,50,META,MTA
85001,YOPAL,85,CASANARE,CSR
85225,NUNCHÍA,85,CASANARE,CSR
85263,PORE,85,CASANARE,CSR
85430,TRINIDAD,85,CASANARE,CSR
15223,CUBARÁ,15,BOYACÁ,BOY
85325,SAN LUIS DE PALENQUE,85,CASANARE,CSR
85139,MANÍ,85,CASANARE,CSR
85230,OROCUÉ,85,CASANARE,CSR
81794,TAME,81,ARAUCA,ARA
81736,SARAVENA,81,ARAUCA,ARA
81065,ARAUQUITA,81,ARAUCA,ARA
