date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,4.009310590358197e-12,6.661338146972362e-16,1.5907275496934323e-12,0.0,2.4302594745608464e-29,0.9999999999943993
2020-01-12,2020-01-01,11.0,5.870158054077724e-12,8.881784195506202e-16,2.505107232777421e-12,0.0,4.4152417595945445e-29,0.9999999999916238
2020-01-19,2020-01-01,18.0,8.594902160533999e-12,1.5543122341015748e-15,3.945066495717513e-12,0.0,8.021513751812377e-29,0.9999999999874585
2020-01-26,2020-01-01,25.0,1.2583831911790321e-11,2.6645352581904037e-15,6.212808045812357e-12,0.0,1.4573309090189763e-28,0.9999999999812007
2020-02-02,2020-01-01,32.0,1.84243780277102e-11,4.662936701170762e-15,9.783951426799904e-12,2.2204460492476462e-16,2.6476466214380984e-28,0.9999999999717867
2020-02-09,2020-01-01,39.0,2.697545955113312e-11,7.771561167065437e-15,1.540789718027289e-11,2.2204460492387903e-16,4.810185928687399e-28,0.9999999999576086
2020-02-16,2020-01-01,46.0,3.9495106806001304e-11,1.3100631677942098e-14,2.4264590336729558e-11,4.440892098451575e-16,8.739039598846197e-28,0.9999999999362268
2020-02-23,2020-01-01,53.0,5.782533361851939e-11,2.2204460462301014e-14,3.82121001500002e-11,6.661338147618751e-16,1.5876894207874767e-27,0.9999999999039396
2020-03-01,2020-01-01,60.0,8.466265259589965e-11,3.752553816037102e-14,6.01765304233351e-11,8.881784196705682e-16,2.884479087612309e-27,0.9999999998551224
2020-03-08,2020-01-01,67.0,1.2395481935762654e-10,6.306066762824778e-14,9.47666389754395e-11,1.3322676294782153e-15,5.2404579245008985e-27,0.9999999997812142
2020-03-15,2020-01-01,74.0,1.8148167610090387e-10,1.0613732074971954e-13,1.4923928758170164e-10,1.9984014441527997e-15,9.520748261302067e-27,0.9999999996691709
2020-03-22,2020-01-01,81.0,2.657049937782764e-10,1.7852386140057525e-13,2.3502333409534017e-10,3.1086244685250076e-15,1.7297085247004448e-26,0.99999999949909
2020-03-29,2020-01-01,88.0,3.890129634643882e-10,3.006483927904323e-13,3.701168259960617e-10,4.8849813072939386e-15,3.142496259979517e-26,0.9999999992405647
2020-04-05,2020-01-01,95.0,5.695412062191258e-10,5.05817604612029e-13,5.828630909261557e-10,7.549516564871418e-15,5.70921782630532e-26,0.9999999988470823
2020-04-12,2020-01-01,102.0,8.338395651739014e-10,8.515410470392006e-13,9.178977573060453e-10,1.1768364054671736e-14,1.037238090015655e-25,0.9999999982473993
2020-04-19,2020-01-01,109.0,1.2207741967711352e-09,1.4335199388517067e-12,1.4455134854514777e-09,1.8207657588297243e-14,1.8844312618401928e-25,0.9999999973322605
2020-04-26,2020-01-01,116.0,1.787239617711861e-09,2.412958649072603e-12,2.276407281814821e-09,2.819966478731306e-14,3.423593111482147e-25,0.9999999959339119
2020-05-03,2020-01-01,123.0,2.616519540100014e-09,4.061861784976246e-12,3.58490614201507e-09,4.329869786742037e-14,6.21990837601098e-25,0.9999999937944691
2020-05-10,2020-01-01,130.0,3.830520013892829e-09,6.837419107566087e-12,5.645541348475141e-09,6.683542585451933e-14,1.1300192203931562e-24,0.9999999905170343
2020-05-17,2020-01-01,137.0,5.607673565565992e-09,1.1509237025130611e-11,8.890647392264553e-09,1.0325074073026708e-13,2.0529939676059735e-24,0.9999999854900665
2020-05-24,2020-01-01,144.0,8.209134394691716e-09,1.9373611481015023e-11,1.4001069072076432e-08,1.5942802496020516e-13,3.7298341036357775e-24,0.9999999777702636
2020-05-31,2020-01-01,151.0,1.2017104365200602e-08,3.26114634827238e-11,2.2049005207154384e-08,2.4602541887459473e-13,6.776280219814107e-24,0.999999965901033
2020-06-07,2020-01-01,158.0,1.7590893247243515e-08,5.489496406301363e-11,3.4722964741989474e-08,3.7991831070144474e-13,1.231099620026513e-23,0.9999999476308671
2020-06-14,2020-01-01,165.0,2.5748917598151167e-08,9.240449640475291e-11,5.4682025772753343e-08,5.864197811141137e-13,2.23663458105122e-23,0.9999999194760656
2020-06-21,2020-01-01,172.0,3.768860223437244e-08,1.5554416723192148e-10,8.611372590101034e-08,9.050537592185232e-13,4.0634682432705067e-23,0.9999998760412225
