date,Alpha,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-30,0.0,0.0,0.0,0.0,0.0,1.0,14
2021-01-11,0.0,0.0,0.0,1.0,0.0,0.0,2
2021-02-22,0.0,0.0,0.0,0.0,0.0,1.0,8
2021-03-08,0.0,0.0,0.0,0.0,0.0,1.0,10
2021-03-29,0.0,0.0,0.0,0.5,0.0,0.5,13
2021-04-05,0.0,0.0,0.5,0.0,0.0,0.5,14
2021-04-12,0.0,0.0,1.0,0.0,0.0,0.0,15
2021-04-19,0.0,0.0,0.0,0.0,0.0,1.0,16
2021-04-26,0.0,0.0,0.5,0.0,0.0,0.5,17
2021-05-03,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,18
2021-05-17,0.0,0.0,0.0,1.0,0.0,0.0,20
2021-06-07,0.0,0.0,0.0,0.6,0.0,0.4,23
2021-06-14,0.0,0.0,0.0,1.0,0.0,0.0,24
2021-06-21,0.0,0.0,0.0,1.0,0.0,0.0,25
2021-07-05,0.5,0.0,0.0,0.5,0.0,0.0,27
2021-07-12,0.0,0.5,0.0,0.5,0.0,0.0,28
2021-07-19,0.0,0.0,0.0,1.0,0.0,0.0,29
2021-08-09,0.0,0.0,0.0,1.0,0.0,0.0,32
2021-09-20,0.0,0.0,0.0,1.0,0.0,0.0,38
2021-09-27,0.0,1.0,0.0,0.0,0.0,0.0,39
2021-10-04,0.0,0.0,0.0,1.0,0.0,0.0,40
2021-10-11,0.0,1.0,0.0,0.0,0.0,0.0,41
2021-12-06,0.0,1.0,0.0,0.0,0.0,0.0,49
2021-12-13,0.0,1.0,0.0,0.0,0.0,0.0,50
2021-12-20,0.0,1.0,0.0,0.0,0.0,0.0,51
2021-12-27,0.0,1.0,0.0,0.0,0.0,0.0,52
2022-01-10,0.0,0.0,0.0,0.0,1.0,0.0,2
2022-03-28,0.0,0.0,0.0,0.0,1.0,0.0,13
2022-04-18,0.0,0.0,0.0,0.0,1.0,0.0,16
2022-04-25,0.0,0.0,0.0,0.0,1.0,0.0,17
2022-06-06,0.0,0.0,0.0,0.0,1.0,0.0,23
2022-06-20,0.0,0.0,0.0,0.0,1.0,0.0,25
2022-06-27,0.0,0.0,0.0,0.0,1.0,0.0,26
2022-07-18,0.0,0.0,0.0,0.0,1.0,0.0,29
2022-08-01,0.0,0.0,0.0,0.0,1.0,0.0,31
2022-08-08,0.0,0.0,0.0,0.0,1.0,0.0,32
2022-08-15,0.0,0.0,0.0,0.0,1.0,0.0,33
2022-08-29,0.0,0.0,0.0,0.0,1.0,0.0,35
2022-10-31,0.0,0.0,0.0,0.0,1.0,0.0,44
2022-12-12,0.0,0.0,0.0,0.0,1.0,0.0,50
2022-12-26,0.0,0.0,0.0,0.0,1.0,0.0,52
2023-01-02,0.0,0.0,0.0,0.0,1.0,0.0,1
2023-03-06,0.0,0.0,0.0,0.0,1.0,0.0,10
2023-05-15,0.0,0.0,0.0,0.0,1.0,0.0,20
2023-05-22,0.0,0.0,0.0,0.0,1.0,0.0,21
2023-07-03,0.0,0.0,0.0,0.0,1.0,0.0,27
2023-07-10,0.0,0.0,0.0,0.0,1.0,0.0,28
2023-07-24,0.0,0.0,0.0,0.0,1.0,0.0,30
