date,Delta,Mu,Omicron,Otros,week
2020-04-15,0.0,0.0,0.0,1.0,16
2020-05-06,0.0,0.0,0.0,1.0,19
2020-05-13,0.0,0.0,0.0,1.0,20
2020-05-27,0.0,0.0,0.0,1.0,22
2020-06-10,0.0,0.0,0.0,1.0,24
2020-06-17,0.0,0.0,0.0,1.0,25
2020-06-24,0.0,0.0,0.0,1.0,26
2020-12-16,0.0,0.0,0.0,1.0,51
2021-01-06,0.0,0.0,0.0,1.0,1
2021-01-13,0.0,0.0,0.0,1.0,2
2021-01-27,0.0,0.0,0.0,1.0,4
2021-02-17,0.0,1.0,0.0,0.0,7
2021-02-24,0.0,1.0,0.0,0.0,8
2021-03-31,0.0,1.0,0.0,0.0,13
2021-04-07,0.0,0.0,0.0,1.0,14
2021-04-21,0.0,1.0,0.0,0.0,16
2021-04-28,0.0,1.0,0.0,0.0,17
2021-05-05,0.0,1.0,0.0,0.0,18
2021-06-16,0.0,1.0,0.0,0.0,24
2021-06-23,0.0,1.0,0.0,0.0,25
2021-08-04,0.0,1.0,0.0,0.0,31
2021-09-15,0.0,1.0,0.0,0.0,37
2021-09-22,0.25,0.75,0.0,0.0,38
2021-09-29,0.25,0.75,0.0,0.0,39
2021-10-06,0.0,1.0,0.0,0.0,40
2021-10-13,0.5,0.5,0.0,0.0,41
2021-10-20,0.5833333333333334,0.4166666666666667,0.0,0.0,42
2021-10-27,1.0,0.0,0.0,0.0,43
2021-11-03,0.8,0.2,0.0,0.0,44
2021-11-10,0.7142857142857143,0.2857142857142857,0.0,0.0,45
2021-11-17,0.7,0.3,0.0,0.0,46
2021-11-24,1.0,0.0,0.0,0.0,47
2021-12-01,0.0,1.0,0.0,0.0,48
2021-12-08,1.0,0.0,0.0,0.0,49
2021-12-15,1.0,0.0,0.0,0.0,50
2021-12-22,1.0,0.0,0.0,0.0,51
2022-02-02,0.5,0.0,0.5,0.0,5
2022-02-23,0.0,0.0,1.0,0.0,8
2022-05-11,0.0,0.0,1.0,0.0,19
2022-06-01,0.0,0.0,1.0,0.0,22
2022-06-22,0.0,0.0,1.0,0.0,25
2022-06-29,0.0,0.0,1.0,0.0,26
2022-07-06,0.0,0.0,1.0,0.0,27
2022-07-13,0.0,0.0,1.0,0.0,28
2022-07-20,0.0,0.0,1.0,0.0,29
2022-07-27,0.0,0.0,1.0,0.0,30
2022-08-03,0.0,0.0,1.0,0.0,31
2022-08-31,0.0,0.0,1.0,0.0,35
2022-10-26,0.0,0.0,1.0,0.0,43
2022-11-09,0.0,0.0,1.0,0.0,45
2022-11-16,0.0,0.0,1.0,0.0,46
2022-11-23,0.0,0.0,1.0,0.0,47
2022-11-30,0.0,0.0,1.0,0.0,48
2022-12-28,0.0,0.0,1.0,0.0,52
