date,Delta,Gamma,Mu,Omicron,Otros,week
2020-04-19,0.0,0.0,0.0,0.0,1.0,16
2020-04-26,0.0,0.0,0.0,0.0,1.0,17
2020-11-29,0.0,0.0,0.0,0.0,1.0,48
2020-12-20,0.0,0.0,0.0,0.0,1.0,51
2020-12-27,0.0,0.0,0.0,0.0,1.0,52
2021-04-18,0.0,1.0,0.0,0.0,0.0,15
2021-04-25,0.0,0.0,1.0,0.0,0.0,16
2021-05-09,0.0,0.0,1.0,0.0,0.0,18
2021-05-16,0.0,0.0,1.0,0.0,0.0,19
2021-05-30,0.0,0.0,1.0,0.0,0.0,21
2021-06-06,0.0,0.0,1.0,0.0,0.0,22
2021-06-27,0.0,0.0,1.0,0.0,0.0,25
2021-07-11,0.0,0.0,1.0,0.0,0.0,27
2021-07-25,0.0,0.0,1.0,0.0,0.0,29
2021-08-22,1.0,0.0,0.0,0.0,0.0,33
2021-09-12,1.0,0.0,0.0,0.0,0.0,36
2021-09-19,1.0,0.0,0.0,0.0,0.0,37
2021-09-26,0.75,0.0,0.25,0.0,0.0,38
2021-10-03,1.0,0.0,0.0,0.0,0.0,39
2021-10-10,1.0,0.0,0.0,0.0,0.0,40
2021-10-17,0.8823529411764706,0.0,0.11764705882352941,0.0,0.0,41
2021-10-24,0.9736842105263158,0.0,0.02631578947368421,0.0,0.0,42
2021-10-31,0.9852941176470589,0.0,0.014705882352941176,0.0,0.0,43
2021-11-07,1.0,0.0,0.0,0.0,0.0,44
2021-11-14,1.0,0.0,0.0,0.0,0.0,45
2021-12-05,1.0,0.0,0.0,0.0,0.0,48
2022-02-06,0.0,0.0,0.0,1.0,0.0,5
2022-07-10,0.0,0.0,0.0,1.0,0.0,27
2022-07-17,0.0,0.0,0.0,1.0,0.0,28
2022-10-09,0.0,0.0,0.0,1.0,0.0,40
